Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1912947,ZD6717060,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1913021,ZD6717079,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1913057,ZD6717088,First Flight,delhi,28-Nov-2012,moradabad,29-Nov-2012,Pending
1913121,ZD6717097,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1913137,ZD6717668,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1913139,ZD6717102,First Flight,delhi,29-Nov-2012,varanasi,--,In Transit[Contact]
1913140,ZD6717103,First Flight,delhi,28-Nov-2012,chandigarh,--,In Transit[Contact]
1913182,ZD6717109,First Flight,delhi,29-Nov-2012,lucknow,3-Dec-2012,Delivered
1913186,ZD6719332,First Flight,delhi,29-Nov-2012,burdwan,1-Dec-2012,Delivered
1913191,ZD6717111,First Flight,delhi,28-Nov-2012,gurgaon,29-Nov-2012,Pending
1913213,ZD6719333,First Flight,delhi,29-Nov-2012,hyderabad,30-Nov-2012,Delivered
1913245,ZD6717120,First Flight,delhi,28-Nov-2012,patiala,3-Dec-2012,Delivered
1913247,ZD6717121,First Flight,delhi,28-Nov-2012,mohali,30-Nov-2012,Pending
1913298,ZD6717126,First Flight,delhi,29-Nov-2012,bhadohi,3-Dec-2012,Delivered
1913342,ZD6717132,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1913363,ZD6717138,First Flight,delhi,28-Nov-2012,agra,--,In Transit[Contact]
1913399,ZD6717144,First Flight,delhi,28-Nov-2012,bikaner,--,In Transit[Contact]
1913455,ZD6717156,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Pending
1913465,ZD6717157,First Flight,delhi,28-Nov-2012,kaithal,29-Nov-2012,Pending
1913504,ZD6717163,First Flight,delhi,28-Nov-2012,kota,30-Nov-2012,Pending
1913506,ZD6717164,First Flight,delhi,29-Nov-2012,patiala,--,In Transit[Contact]
1913511,ZD6717166,First Flight,delhi,28-Nov-2012,chandigarh,30-Nov-2012,Delivered
1913518,ZD6717672,First Flight,delhi,29-Nov-2012,bhopal,1-Dec-2012,Pending
1913540,ZD6717172,First Flight,delhi,28-Nov-2012,ambala,--,In Transit[Contact]
1913544,ZD6717173,First Flight,delhi,28-Nov-2012,kurukshetra,29-Nov-2012,Pending
1913583,ZD6717181,First Flight,delhi,28-Nov-2012,bikaner,--,In Transit[Contact]
1913606,ZD6717186,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
