Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1890253,Z77929232,DTDC,,,,,
1890254,Z77929233,DTDC,,,,,
1890260,Z77929234,DTDC,,,,,
1890306,Z77929226,DTDC,,,,,
1891424,Z77929359,DTDC,,,,,
1892072,Z77929278,DTDC,,,,,
1892753,Z77929452,DTDC,,,,,
1892843,Z77929355,DTDC,,,,,
1893017,Z77929296,DTDC,,,,,
1893170,Z77929424,DTDC,,,,,
1893247,Z77929425,DTDC,,,,,
1893322,Z77929279,DTDC,,,,,
1893810,Z77929280,DTDC,,,,,
1894142,Z77929426,DTDC,,,,,
1894149,Z77929358,DTDC,,,,,
1894240,Z77929427,DTDC,,,,,
1894278,Z77929428,DTDC,,,,,
1894562,Z77929429,DTDC,,,,,
1894632,Z77929430,DTDC,,,,,
1894646,Z77929356,DTDC,,,,,
1894736,Z77929431,DTDC,,,,,
1894860,Z77929449,DTDC,,,,,
1894921,Z77929432,DTDC,,,,,
1894924,Z77929433,DTDC,,,,,
1895183,Z77929366,DTDC,,,,,
1895440,Z77929434,DTDC,,,,,
1895480,Z77929435,DTDC,,,,,
1895796,Z77929454,DTDC,,,,,
1895811,Z77929442,DTDC,,,,,
1895858,Z77929440,DTDC,,,,,
1895893,Z77929443,DTDC,,,,,
1895908,Z77929467,DTDC,,,,,
1895961,Z77929444,DTDC,,,,,
1896256,Z77929297,DTDC,,,,,
1896298,Z77929298,DTDC,,,,,
1897199,Z77929299,DTDC,,,,,
1897580,Z77929300,DTDC,,,,,
1897652,Z77929455,DTDC,,,,,
1898835,Z77929301,DTDC,,,,,
1898908,Z77929450,DTDC,,,,,
1899803,Z77929302,DTDC,,,,,
1900403,Z77929303,DTDC,,,,,
